"id,Sleep Duration,Profession,Work Pressure,Academic Pressure,Study Satisfaction,Job Satisfaction,Dietary Habits"
"2,5-6 hours,Student,0.0,5.0,2.0,0.0,Healthy"
"8,5-6 hours,Student,0.0,2.0,5.0,0.0,Moderate"
"26,Less than 5 hours,Student,0.0,3.0,5.0,0.0,Healthy"
"30,7-8 hours,Student,0.0,3.0,2.0,0.0,Moderate"
"32,5-6 hours,Student,0.0,4.0,3.0,0.0,Moderate"
"33,Less than 5 hours,Student,0.0,2.0,3.0,0.0,Healthy"
"52,7-8 hours,Student,0.0,3.0,4.0,0.0,Healthy"
"56,Less than 5 hours,Student,0.0,2.0,4.0,0.0,Unhealthy"
"59,7-8 hours,Student,0.0,3.0,1.0,0.0,Moderate"
"62,Less than 5 hours,Student,0.0,2.0,3.0,0.0,Moderate"
"83,5-6 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"91,Less than 5 hours,Student,0.0,3.0,4.0,0.0,Healthy"
"94,Less than 5 hours,Student,0.0,5.0,1.0,0.0,Moderate"
"100,Less than 5 hours,Student,0.0,2.0,4.0,0.0,Unhealthy"
"103,Less than 5 hours,Student,0.0,5.0,5.0,0.0,Moderate"
"106,More than 8 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"120,Less than 5 hours,Student,0.0,5.0,2.0,0.0,Unhealthy"
"132,5-6 hours,Student,0.0,5.0,3.0,0.0,Healthy"
"139,7-8 hours,Student,0.0,2.0,2.0,0.0,Unhealthy"
"145,5-6 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"161,5-6 hours,Student,0.0,3.0,4.0,0.0,Moderate"
"162,7-8 hours,Student,0.0,3.0,3.0,0.0,Moderate"
"166,More than 8 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"172,7-8 hours,Student,0.0,1.0,4.0,0.0,Healthy"
"173,More than 8 hours,Student,0.0,4.0,3.0,0.0,Unhealthy"
"176,7-8 hours,Student,0.0,5.0,5.0,0.0,Moderate"
"186,7-8 hours,Student,0.0,2.0,5.0,0.0,Moderate"
"193,More than 8 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"208,Less than 5 hours,Student,0.0,5.0,2.0,0.0,Moderate"
"214,7-8 hours,Student,0.0,3.0,3.0,0.0,Unhealthy"
"222,Less than 5 hours,Student,0.0,4.0,5.0,0.0,Moderate"
